"fact","region","phi","crop","median","mean","min","max"
"IPM","Melanesia",4,"M",0.0321884595,85.2377756154042,-0.39310258,724.63912
"IPM","Melanesia",4,"R",0.055677896,0.486114155333333,-0.99984683,6.1733446
"IPM","Middle Africa",2,"M",0.32369463,0.328467879589744,0.13100942,0.47595009
"IPM","Middle Africa",2,"R",0.32520582,0.328351159764368,-0.049210431,0.52607119
"IPM","Middle Africa",2,"W",0.38606487,0.384551332173913,0.28316345,0.44306705
"IPM","Middle Africa",3,"M",0.14491402,0.150559326061538,-0.06065444,0.27706342
"IPM","Middle Africa",3,"R",0.11908731,0.12858795116092,-0.16824731,0.29127875
"IPM","Middle Africa",3,"W",0.17372738,0.173184386335404,0.10076934,0.20928336
"IPM","Middle Africa",4,"M",0.11341762,0.124275361752103,-0.31943825,0.37318888
"IPM","Middle Africa",4,"R",0.070947211,0.0886834431552874,-0.73347991,0.40152796
"IPM","Middle Africa",4,"W",0.16679944,0.165675212428571,0.046671998,0.21094761
"IPM","Northern Africa",2,"M",0.39208824,0.394926916625,0.29312121,0.69363282
"IPM","Northern Africa",2,"R",0.42243494,0.416078522469136,0.26582222,0.68230952
"IPM","Northern Africa",2,"W",0.42378706,0.4472623802,0.34082748,0.65144158
"IPM","Northern Africa",3,"M",0.198402915,0.20686001425,0.14171606,0.47373246
"IPM","Northern Africa",3,"R",0.19151637,0.185665324716049,0.080475582,0.31833792
"IPM","Northern Africa",3,"W",0.20370899,0.223446605,0.16998698,0.3906042
"IPM","Northern Africa",4,"M",0.191786765,0.2088396571375,0.071047051,0.86515793
"IPM","Northern Africa",4,"R",0.1737451,0.16392003617284,-0.016307309,0.45323881
"IPM","Northern Africa",4,"W",0.200153295,0.2447206586,0.16271257,0.53263544
"IPM","Northern America",2,"M",0.58575932,0.569267455436364,0.2556199,0.79581798
"IPM","Northern America",2,"R",0.53541636,0.508497377368421,0.26184389,0.60952582
"IPM","Northern America",2,"W",0.57775838,0.580692248202995,0.37941031,0.89515821
"IPM","Northern America",3,"M",0.28214994,0.279043401054545,0.12692913,0.44642937
"IPM","Northern America",3,"R",0.23485035,0.234086453157895,0.12559117,0.32999924
"IPM","Northern America",3,"W",0.27114166,0.293303571281198,0.17088916,0.82444737
"IPM","Northern America",4,"M",0.29591253,0.309024095272727,0.12454706,0.840596
"IPM","Northern America",4,"R",0.21976352,0.235910127368421,0.1084438,0.46480235
"IPM","Northern America",4,"W",0.303786,4.90713611178037,0.16450421,1050.8551
"IPM","Northern Europe",2,"W",0.42073651,0.416178032459016,0.2292503,0.63807638
"IPM","Northern Europe",3,"W",0.25329138,0.246779173770492,0.13228292,0.39130914
"IPM","Northern Europe",4,"W",0.31466932,0.294936619180328,0.14513802,0.51818718
"IPM","South America",2,"M",0.25896786,0.240634584234668,-0.41101204,1.8297798
"IPM","South America",2,"R",0.28825053,0.300186652920661,0.041051781,1.0013626
"IPM","South America",2,"W",0.34050951,0.344132279200969,0.17786142,0.60297601
"IPM","South America",3,"M",0.10338257,0.586158961983311,-1,414.87572
"IPM","South America",3,"R",0.11226053,0.53405717896643,-0.99994551,109.68006
"IPM","South America",3,"W",0.15240526,0.153955396229056,-0.025214494,0.40203337
"IPM","South America",4,"M",0.065951291,1.041412326489,-1,414.87572
"IPM","South America",4,"R",0.074041171,1.93900684879496,-1,867.45004
